Timestamp,Region,Model,rtReserveTime or preorder-email time ,Initial Valve Estimate,update 1 (Someone have a date for when Valve updated it?),When did you receive your ready to order email?
2/10/2022 10:54:36,EU,256,1626511080,Q2,Q2,
2/10/2022 10:56:15,UK,256,1627407531,Q2,Q2,
2/10/2022 10:57:14,EU,256,1626454981,December,Q1,
2/10/2022 11:07:45,US,256,1626471553,Q1,Q2,
2/10/2022 11:10:04,US,256,1626473161,Q1,Q2,
2/10/2022 11:18:02,EU,256,1626554878,December,Q1,
2/10/2022 11:20:07,EU,256,1626470144,Q2,Q2,
2/10/2022 11:22:39,EU,256,1626459370,Q1,Q2,
2/10/2022 11:29:59,US,256,1641773460,After Q2,After Q2,
2/10/2022 11:34:07,EU,512,1626538080,Q1,Q2,
2/10/2022 11:36:06,EU,256,1626540196,Q2,Q2,
2/10/2022 11:40:44,EU,512,1635688698,After Q2,After Q2,
2/10/2022 12:09:32,UK,256,1626462743,Q1,,
2/10/2022 12:11:17,US,512,1626455100,Q1,Q1,
2/10/2022 12:17:00,EU,512,1626455812,Q1,Q1,
2/10/2022 12:18:44,EU,256,1634914200,After Q2,After Q2,
2/10/2022 12:26:11,EU,512,1626457814,Q2,Q2,
2/10/2022 12:33:19,EU,512,1626456150,December,Q1,
2/10/2022 12:35:33,EU,512,1634506187,Q2,After Q2,
2/10/2022 12:43:03,EU,512,1626474584,Q2,Q2,
2/10/2022 12:44:30,EU,256,1626504100,Q1,Q2,
2/10/2022 12:47:06,US,512,1626456179,Q1,Q2,
2/10/2022 12:59:28,US,256,1626459169,Q1,Q2,
2/10/2022 13:00:41,US,256,1626456568,Q1,Q2,
2/10/2022 13:04:59,EU,512,1626455205,December,Q1,
2/10/2022 13:05:17,EU,256,1626464850,Q1,Q2,
2/10/2022 13:09:58,EU,256,1626455383,December,Q1,
2/10/2022 13:29:51,EU,256,1628506609,Q2,After Q2,
2/10/2022 13:38:27,EU,256,1626464688,Q1,Q2,
2/10/2022 13:48:42,EU,256,1626735110,Q1,Q2,
2/10/2022 13:48:52,US,512,1626455625,Q1,Q2,
2/10/2022 13:55:02,EU,256,1626458741,Q1,Q2,
2/10/2022 14:12:27,US,512,1626455844,Q1,Q2,
2/10/2022 14:13:32,US,512,1626457281,Q1,Q2,
2/10/2022 14:16:32,EU,256,1640437376,After Q2,After Q2,
2/10/2022 14:37:32,EU,256,1626463162,Q1,Q2,
2/10/2022 14:47:09,EU,512,1626455894,Q1,Q1,
2/10/2022 14:52:46,UK,256,1638550106,After Q2,After Q2,
2/10/2022 14:55:48,EU,256,1626508647,Q1,Q2,
2/10/2022 15:04:41,US,512,1626458424,Q1,Q2,
2/10/2022 15:30:25,EU,512,1658525322,,Q1,
2/10/2022 15:32:47,EU,512,1626472389,Q1,Q2,
2/10/2022 15:50:50,EU,512,1626460549,Q1,Q2,
2/10/2022 15:54:55,EU,256,1626455718,Q1,Q1,
2/10/2022 15:59:29,US,512,1626455234,Q1,Q1,
2/10/2022 16:00:34,US,512,1626458734,Q2,Q2,
2/10/2022 16:17:28,EU,256,1626535572,Q2,Q2,
2/10/2022 16:18:42,EU,64,1626482958,Q1,Q1,
2/10/2022 16:19:53,EU,256,1626456154,December,Q1,
2/10/2022 16:22:25,EU,512,1626455099,December,Q1,
2/10/2022 16:28:13,EU,256,1626455898,December,Q1,
2/10/2022 16:34:53,EU,512,1626457620,December,,
2/10/2022 17:08:29,EU,256,1626456523,Q1,Q1,
2/10/2022 17:39:37,EU,256,1626456172,Q1,Q1,
2/10/2022 17:42:21,EU,512,1626509956,December,Q2,
2/10/2022 18:09:12,EU,512,1649365320,Q1,Q2,1649365320
2/10/2022 18:16:27,EU,256,1626461987,Q1,Q2,
2/10/2022 18:43:22,US,64,1626455904,December,Q1,
2/10/2022 19:07:42,EU,512,1626459434,Q2,Q2,
2/10/2022 19:35:32,US,256,1626455240,December,Q1,
2/10/2022 20:11:14,EU,512,1626531186,Q2,Q2,
2/10/2022 20:35:56,US,512,1626459425,Q2,After Q2,
2/10/2022 21:25:13,US,256,1626462359,Q1,Q2,
2/10/2022 21:49:41,US,512,1626465822,Q2,After Q2,
2/10/2022 23:54:19,EU,512,1626456721,Q2,Q2,
2/11/2022 1:26:23,EU,256,1626522772,Q1,Q2,
2/11/2022 3:27:16,EU,512,1626466216,Q2,Q2,
2/11/2022 5:10:51,EU,512,1626784680,Q1,Q2,
2/11/2022 5:24:44,EU,256,1626680878,Q1,Q2,
2/11/2022 6:25:06,EU,256,1626460585,Q2,Q2,
2/11/2022 6:26:12,US,512,1626456726,Q1,Q2,
2/11/2022 7:20:37,UK,256,1626461779,Q2,Q2,
2/11/2022 8:02:03,UK,512,1629621601,Q1,After Q2,
2/11/2022 8:25:51,EU,512,1626458749,Q2,Q2,
2/11/2022 11:07:46,US,512,1626455764,Q1,Q2,
2/11/2022 11:45:11,EU,512,1663164540,After Q2,After Q2,
2/11/2022 12:39:02,EU,512,1628466427,After Q2,After Q2,
2/11/2022 14:00:10,US,512,1626457285,Q1,Q2,
